Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
-2.000000000000000000e+00,2.433712005615234375e+00,1.315118575546791180e-01,1.300000000000000000e+01
-4.000000000000000000e+00,2.839193105697631836e+00,1.383173109526424083e-01,1.500000000000000000e+01
-1.400000000000000000e+01,4.869365930557250977e+00,2.834843830746557880e-01,2.500000000000000000e+01
-9.000000000000000000e+00,3.854749917984008789e+00,2.870278468778034164e-01,2.000000000000000000e+01
2.000000000000000000e+00,1.624945878982543945e+00,1.351744166969753025e-01,9.000000000000000000e+00
-1.300000000000000000e+01,4.664417982101440430e+00,2.177022870181020420e-01,2.400000000000000000e+01
-3.600000000000000000e+01,9.330705881118774414e+00,4.298352876745112350e-01,4.700000000000000000e+01
-4.000000000000000000e+00,2.840769052505493164e+00,2.268465835936570585e-01,1.500000000000000000e+01
-1.800000000000000000e+01,5.679111957550048828e+00,2.324429000032980919e-01,2.900000000000000000e+01
-1.400000000000000000e+01,4.869131088256835938e+00,2.606172856641664759e-01,2.500000000000000000e+01
-9.000000000000000000e+00,3.853878021240234375e+00,2.037820071272826161e-01,2.000000000000000000e+01
-1.700000000000000000e+01,5.475245952606201172e+00,2.289233872960057814e-01,2.800000000000000000e+01
